episode,total_reward,length,success,wall_hits
647,-11.899999999999961,200,0,110
648,-10.099999999999966,200,0,90
649,-10.729999999999963,200,0,97
650,-10.009999999999964,200,0,89
651,-10.909999999999963,200,0,99
652,-10.009999999999964,200,0,89
653,-10.279999999999966,200,0,92
654,-10.639999999999963,200,0,96
655,-9.629999999999965,191,1,97
656,-10.639999999999963,200,0,96
657,-10.819999999999963,200,0,98
658,-10.009999999999966,200,0,89
659,-11.809999999999961,200,0,109
660,-11.179999999999962,200,0,102
661,-11.71999999999996,200,0,108
662,-9.649999999999965,200,0,85
663,-10.819999999999963,200,0,98
664,-8.929999999999968,200,0,77
665,-11.089999999999963,200,0,101
666,-11.17999999999996,200,0,102
667,-11.35999999999996,200,0,104
668,-10.819999999999963,200,0,98
669,-6.14999999999998,140,1,64
670,-11.179999999999962,200,0,102
671,-12.16999999999996,200,0,113
672,-10.639999999999961,200,0,96
673,-7.589999999999975,167,1,77
674,-10.459999999999964,200,0,94
675,-9.829999999999966,200,0,87
676,-10.459999999999965,200,0,94
677,-10.999999999999963,200,0,100
678,-10.549999999999965,200,0,95
679,-10.009999999999964,200,0,89
680,-9.019999999999966,200,0,78
681,-10.819999999999963,200,0,98
682,-11.359999999999962,200,0,104
683,-10.999999999999963,200,0,100
684,-6.0899999999999785,152,1,62
685,-11.179999999999962,200,0,102
686,-9.919999999999966,200,0,88
687,-9.739999999999965,200,0,86
688,-11.26999999999996,200,0,103
689,-10.729999999999963,200,0,97
690,-11.899999999999961,200,0,110
691,-11.449999999999962,200,0,105
692,-10.909999999999965,200,0,99
693,-10.639999999999965,200,0,96
694,-10.279999999999964,200,0,92
695,-11.359999999999964,200,0,104
696,-10.639999999999963,200,0,96
697,-10.459999999999965,200,0,94
698,-10.099999999999962,200,0,90
699,-11.17999999999996,200,0,102
700,-10.099999999999968,200,0,90
701,-10.459999999999964,200,0,94
702,-4.249999999999994,94,1,48
703,-11.179999999999962,200,0,102
704,-10.729999999999963,200,0,97
705,-10.189999999999964,200,0,91
706,-11.719999999999962,200,0,108
707,-10.999999999999963,200,0,100
708,-10.099999999999968,200,0,90
709,-10.369999999999964,200,0,93
710,-12.79999999999996,200,0,120
711,-10.279999999999966,200,0,92
712,-10.909999999999963,200,0,99
713,-11.809999999999961,200,0,109
714,-11.449999999999964,200,0,105
715,-11.269999999999964,200,0,103
716,-10.189999999999964,200,0,91
717,-5.109999999999984,126,1,54
718,-11.449999999999962,200,0,105
719,-10.639999999999963,200,0,96
720,-9.199999999999966,200,0,80
721,-10.009999999999964,200,0,89
722,-10.369999999999962,200,0,93
723,-9.199999999999966,200,0,80
724,-9.379999999999965,200,0,82
725,-11.809999999999961,200,0,109
726,-10.819999999999963,200,0,98
727,-11.179999999999962,200,0,102
728,-10.639999999999963,200,0,96
729,-11.26999999999996,200,0,103
730,-11.269999999999962,200,0,103
731,-7.909999999999972,172,1,80
732,-10.729999999999961,200,0,97
733,-10.459999999999964,200,0,94
734,-10.459999999999964,200,0,94
735,-9.829999999999965,200,0,87
736,-10.279999999999964,200,0,92
737,-12.079999999999961,200,0,112
738,-10.729999999999965,200,0,97
739,-11.269999999999962,200,0,103
740,-4.0299999999999905,99,1,45
741,-10.639999999999963,200,0,96
742,-12.43999999999996,200,0,116
743,-10.999999999999961,200,0,100
744,-7.889999999999974,161,1,81
745,-9.739999999999966,200,0,86
746,-10.549999999999963,200,0,95
747,-10.279999999999966,200,0,92
748,-11.539999999999962,200,0,106
749,-12.07999999999996,200,0,112
750,-5.64999999999998,135,1,59
751,-9.919999999999964,200,0,88
752,-11.71999999999996,200,0,108
753,-10.819999999999963,200,0,98
754,-10.189999999999966,200,0,91
755,-10.369999999999964,200,0,93
756,-10.189999999999964,200,0,91
757,-10.819999999999963,200,0,98
758,-11.35999999999996,200,0,104
759,-10.369999999999964,200,0,93
760,-4.729999999999989,115,1,51
761,-10.189999999999964,200,0,91
762,-3.0499999999999963,82,1,36
763,-9.919999999999966,200,0,88
764,-11.269999999999962,200,0,103
765,-7.769999999999971,176,1,78
766,-11.989999999999963,200,0,111
767,-11.899999999999961,200,0,110
768,-10.099999999999966,200,0,90
769,-11.719999999999962,200,0,108
770,-11.179999999999964,200,0,102
771,-11.629999999999963,200,0,107
772,-11.089999999999964,200,0,101
773,-6.109999999999979,136,1,64
774,-11.179999999999962,200,0,102
775,-11.26999999999996,200,0,103
776,-11.71999999999996,200,0,108
777,-11.989999999999961,200,0,111
778,-12.169999999999963,200,0,113
779,-12.70999999999996,200,0,119
780,-10.819999999999963,200,0,98
781,-11.629999999999962,200,0,107
782,-9.379999999999967,200,0,82
783,-11.719999999999962,200,0,108
784,-10.279999999999964,200,0,92
785,-10.549999999999963,200,0,95
786,-0.8100000000000007,38,1,16
787,-9.739999999999966,200,0,86
788,-10.549999999999963,200,0,95
789,-9.469999999999965,200,0,83
790,-11.179999999999962,200,0,102
791,-9.649999999999967,200,0,85
792,-11.359999999999962,200,0,104
793,-11.269999999999962,200,0,103
794,-10.639999999999965,200,0,96
795,-10.819999999999961,200,0,98
796,-11.539999999999962,200,0,106
797,-10.999999999999964,200,0,100
798,-10.549999999999963,200,0,95
799,-11.269999999999964,200,0,103
800,-10.549999999999962,200,0,95
801,-10.639999999999965,200,0,96
802,-10.909999999999963,200,0,99
803,-10.819999999999965,200,0,98
804,-11.719999999999962,200,0,108
805,-10.549999999999965,200,0,95
806,-7.2099999999999795,138,1,76
807,-10.009999999999964,200,0,89
808,-11.899999999999961,200,0,110
809,-11.179999999999962,200,0,102
810,-10.459999999999965,200,0,94
811,-10.909999999999961,200,0,99
812,-11.809999999999961,200,0,109
813,-11.179999999999962,200,0,102
814,-10.009999999999964,200,0,89
815,-10.999999999999963,200,0,100
